,statement,source,t/f status
16154,"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president.""",Gilberto Hinojosa,false
16155,"""$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.""",Rob Portman,true
16156,"Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax.",American Civil Liberties Union,barely-true
16157,"""This would be the largest casino in the United States.""",It's Still a Bad Idea,pants-fire
16158,"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",Paul Ryan,mostly-true
16159,"On new dollar coins, ""'In God We Trust' is gone!""",Chain email,false
16160,Says Obama doubled funding for the Pell Grant.,Kal Penn,mostly-true
16161,"""We've doubled our use of renewable energy.""",Barack Obama,barely-true
16162,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,Herb Garrett,mostly-true
16163,"""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas.""",Barack Obama,half-true
16164,"""We’re seeing now 30 straight months of private-sector job growth, 4.6 million jobs created.""",Julián Castro,mostly-true
16165,"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",Bill Clinton,true
16166,"Says Republicans ""have declared that they’re going to convert the Medicare program into a voucher program.""",Upendra Chivukula,mostly-true
16167,"""We know there are more Democrats in Georgia than Republicans. We know that for a fact.""",Mike Berlon,barely-true
16168,"Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""",Eric Cantor,true
16169,"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",Joe Biden,mostly-true
16170,"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",Cory Booker,true
16171,Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,Ann McLane Kuster,false
16172,"Says ""under Oregon law, girls from 15 years of age and up are given complete control over whether to be sterilized or not.""",CNSNews,false
16173,"Mitt Romney ""said it was 'tragic' to end the war in Iraq.""",Barack Obama,half-true
16174,"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""",Bill Clinton,mostly-true
16175,"The ""Health Care Compact bill would end Medicare's guaranteed benefit for Tennessee's Medicare recipients and shift management of the federal health care plan to the state's TennCare program.""",Tennessee Democratic Party,false
16176,"""We've got 7.2 percent unemployment (in Ohio), but when you include the folks who have stopped looking for work, it's actually over 10 percent.""",Rob Portman,half-true
16177,Says Romney called Russia our No. 1 enemy.,Barack Obama,mostly-true
16178,"""I've cut taxes for ... middle-class families, small businesses.""",Barack Obama,mostly-true
16179,"Says his budget plan ""would cut our deficits by $4 trillion.""",Barack Obama,half-true
16180,"""The auditor [for the city of Providence] was not locked out"" of access to the city's finances.",David Cicilline,barely-true
16181,"Providence has ""amongst the highest tax rate(s) in the entire country.""",Anthony Gemma,mostly-true
16182,"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",Barack Obama,true
16183,"Says that Mitt Romney's response to the crisis in the auto industry was, ""Let Detroit go bankrupt.""",Jennifer Granholm,half-true
16184,"""Jeb Bush recently noted, Reagan himself would have been too moderate, too reasonable for today's GOP.""",Charlie Crist,half-true
16185,"When Social Security, Medicare and Medicaid were created, ""Republicans stood on the sidelines""",James Clyburn,false
16186,Says Mitt Romney asked for a waiver from federal welfare rules.,Rahm Emanuel,barely-true
16187,"Ohio has ""created 45,000 new manufacturing jobs since 2010. And that's due in large part to the fact that the auto rescue has helped Ohio.""",Ted Strickland,half-true
16188,"Under President Barack Obama’s leadership, ""since June 2009, (the auto) industry has added a quarter of a million jobs.""",Bob King,true
16189,"Says House Republicans ""tried to change the definition of rape.""",Gwen Moore,barely-true
16190,"Says U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that (Ryan) had in his own budget.""",Bill Clinton,true
16191,"Says Charlie Crist ""was pro-life, pro-gun and vehemently anti-tax.""",George LeMieux,mostly-true
16192,"""In the last 29 months, our economy has produced about 4.5 million private-sector jobs.""",Bill Clinton,mostly-true
16193,"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill ""that attempts to distinguish between ‘forcible rape’ and other sexual assaults.""",Lone Star Project,half-true
16194,"""We have more scientists and engineers per square mile than anywhere in the world.""",Choose: New Jersey,true
16195,"The stimulus program ""cut taxes for 95 percent of the American people.""",Bill Clinton,half-true
16196,"""Since 1961 … our private economy has produced 66 million private-sector jobs. So what's the jobs score? Republicans 24 million, Democrats 42 (million).""",Bill Clinton,true
16197,"Mitt Romney said we should let foreclosures ""hit the bottom.""",Kamala Harris,half-true
16198,"Women ""receive only 77 cents for every dollar a man earns.""",Diana DeGette,mostly-true
16199,"When it comes to jobless workers, ""Mitt Romney says he likes to fire people.""",Jack Markell,false
16200,"""Republicans would give seniors a (Medicare) voucher that limits what's covered, costing seniors as much as $6,400 more a year.""",Kathleen Sebelius,half-true
16201,"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",Joe Biden,half-true
16202,"Says she was misquoted and ""didn’t say"" that the Israeli ambassador said ""what the Republicans are doing is dangerous for Israel.""",Debbie Wasserman Schultz,pants-fire
16203,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,Chris Christie,true
16204,"""Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.""",Julián Castro,mostly-true
16205,"""Under President Bush in eight years, we added $4.9 trillion to the debt. Under President Obama, we've added $5.3 trillion to the debt in the 3.5 years he's been in office.""",Kelly Ayotte,mostly-true
16206,"Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents.""",Julián Castro,true
16207,"Says Mitt Romney has put forward a plan ""that would cut taxes for millionaires while raising them for the middle class.""",Martin O'Malley,half-true
16208,"Says Mitt Romney’s tax plans would ""give an additional $250,000 tax cut to millionaires and billionaires"" while raising taxes on the middle class.",Ted Strickland,half-true
16209,"""We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.""",David Cicilline,false
16210,"""By the time (Mitt Romney) left office, Massachusetts was 47th in the nation in job creation.""",Deval Patrick,half-true
16211,Says Milken Institute rated San Antonio as nation’s top-performing local economy.,Julián Castro,true
16212,"""The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.""",Cory Booker,true
16213,Says Barack Obama is a Muslim.,Hank Williams Jr.,pants-fire
16214,"In 2008, Charlie Crist ‘""applauded the pick of Sarah Palin and said she would do ‘a great job.’""",George LeMieux,true
16215,"The GOP platform that seeks further limits on abortion and is silent on an exception for rape ""has been there for more than 30 years.""",Bob McDonnell,true
16216,"Federal law adopted ""under Tommy Thompson's watch"" prohibits the government from negotiating for ""better prices"" on prescription drugs for senior citizens",Tammy Baldwin,true
16217,"Says Chris Christie was the ""first governor in America to endorse"" Mitt Romney.",Chris Christie,false
16218,"Says Gov. Chris Christie has embarked on a tour to ""demand that New Jersey’s Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest.""",Barbara Buono,false
16219,"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",Tennessee Democratic Party,true
16220,U.S. military uniforms are manufactured in China.,Anthony Gemma,pants-fire
16221,"Says opponents of the health care law  ""prevailed on our two main arguments"" to the U.S. Supreme Court.",Sam Olens,mostly-true
16222,"At Bain Capital, ""we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.""",Mitt Romney,true
16223,"Under the ""Obama economy ... utility bills are higher.""",Mitt Romney,half-true
16224,"The unemployment rate is declining faster in Tampa ""than almost anywhere else.""",Bob Buckhorn,mostly-true
16225,"Says ""Bruce Starr voted to throw 6,000 Oregonians off unemployment.""",Democratic Party of Oregon,half-true
16226,"Says under the Romney-Ryan budget ... ""the American Opportunity Tax Credit for college tuition would be eliminated.""",Barack Obama,mostly-true
16227,"""There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.""",Marco Rubio,mostly-true
16228,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",John Cornyn,barely-true
16229,"""When Tim Kaine was governor, spending soared, blowing holes in the budget every year.""",Crossroads GPS,barely-true
16230,"In his first TV interview as president, Obama said we ""should talk to Iran.""",Mitt Romney,true
16231,"Barack Obama began his presidency ""with an apology tour.""",Mitt Romney,pants-fire
16232,"""The majority of Americans now doubt that our children will have a better future.""",Mitt Romney,half-true
16233,"""In Massachusetts, Gov. Romney narrowed the gap between students of different races.""",Jeb Bush,half-true
16234,"President Barack Obama has ""weakened the respect for America abroad.""",Callista Gingrich,barely-true
16235,"Clackamas County Commissioners ""approved a re-negotiated agreement to lower the county’s contribution to TriMet’s Portland-Milwaukie Light Rail project to $19.9 million from $25 million.""",Clackamas County Commission,false
16236,"President Obama’s education ""solution"" includes an effort to ""nationalize curriculum.""",Rick Santorum,barely-true
16237,"Says Connie Mack IV co-sponsored a bill to ""take a third of the Social Security Trust Fund ... give it in individual accounts to the senior citizens, who then were to invest it in the stock market.""",Bill Nelson,false
16238,"Says ""President Obama and his National Labor Relations Board"" sued Boeing over its decision to open a plant in South Carolina.",Nikki Haley,half-true
16239,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",Chris Christie,false
16240,"Says the United States has ""the world’s greatest health care system.""",Chris Christie,half-true
16241,"Says Sherrod Brown voted ""for the $1.17 trillion health care law that adds a new tax on Ohio manufacturers.""",Crossroads GPS,half-true
16242,"Says that as Providence’s mayor, David Cicilline said the city had a ""world-class … school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.""",Anthony Gemma,false
16243,"""When President Obama took office, we were losing 700,000 jobs a month. Now we've had job growth, I think, for 24 consecutive months.""",David Cicilline,mostly-true
16244,"In Massachusetts under Mitt Romney, ""unemployment went down, household incomes went up,"" and the state ""saw its credit rating upgraded.""",Paul Ryan,half-true
16245,Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.,Paul Ryan,false
16246,"President Obama ""funneled"" $716 billion out of Medicare ""at the expense of the elderly.""",Paul Ryan,barely-true
16247,"The Obama administration ""even proposed banning farm kids from doing basic chores!""",John Thune,pants-fire
16248,"Barack Obama has ""never even worked in business.""",Rob Portman,false
16249,Says women care most about jobs and the economy,Pam Bondi,true
16250,"When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""",Rick Santorum,false
16251,"""Mitt Romney’s platform ...won't protect the mortgage interest (tax) deduction for middle-class families.""",Stephanie Cutter,barely-true
16252,"""Last month, 44 of the 50 states saw an increase in the unemployment rate.""",Scott Walker,half-true
16253,"Wealthy taxpayers, not middle-income earners, get ""most of the deductions"" in the tax code.",Paul Ryan,mostly-true
16254,"""A Gallup report recently said that nearly 50 percent of small business owners aren't hiring because of what they call ‘regulatory uncertainty.’""",Sher Valenzuela,half-true
16255,Says most Texas schools spend 45 out of 180 school days in mandated testing.,Ted Lyon,false
16256,"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",Michele Bachmann,false
16257,Claims Ohio Gov. John Kasich says climate change is a problem.,Florida Wildlife Federation,true
16258,"""President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.""",Michael Riley,half-true
16259,"Says ""taxes were raised 115 times in the eight years before I became governor"" and those increases were part of a ""path that led to wealth and jobs and people leaving our state.""",Chris Christie,half-true
16260,"Says they said ""it was impossible to balance a budget at the same time, with an $11 billion deficit"" and ""we did it.""",Chris Christie,half-true
16261,"The health care law imposes a federal mandate requiring middle-class Americans to buy health insurance ""whether they can afford it or not.""",Artur Davis,barely-true
16262,"There has been ""$5 trillion in debt added over the last four years.""",Chris Christie,mostly-true
16263,"Says President Obama has waived ""the work requirement for welfare.""",Rick Santorum,pants-fire
16264,Says our national debt is greater than our gross domestic product.,Ted Cruz,half-true
16265,"Says Paul Ryan ""tried to change the whole game"" for Social Security",Barack Obama,half-true
16266,"""Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",Paul Ryan,false
16267,"""If you look at the number of illegal immigrants coming into the country, it is net zero. It's been that way now for almost two years.""",Jeb Bush,true
16268,Says a portfolio managed by the Texas General Land Office earned 22 percent last year while the state’s emergency reserve account experienced a 1 percent gain.,Jerry Patterson,mostly-true
16269,Says Republicans supported legislation on early voting and in-person voting in 2005.,Teresa Fedor,true
16270,"Mitt Romney ""gave away his father's inheritance.""",Reince Priebus,true
16271,"In the past 27 months, President Barack Obama has created more private-sector jobs than ""in the Reagan recovery.""",Stephanie Cutter,false
16272,"""Half the kids coming out of college this year … can't find a job, or a job that's consistent with a college degree.""",Mitt Romney,true
16273,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,Lamar Smith,true
16274,"Republicans included ""the Akin amendment in the Republican Party platform, which bans abortion, even for rape victims.""",Charlie Crist,half-true
16275,"Says that Tennessee Gov. Bill Haslam ""has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.""",BillHislam.com,pants-fire
16276,"""This year, Eric Cantor has received more money from oil companies than any other member of Congress.""",Wayne Powell,false
16277,"Says U.S. Senate rival Tommy Thompson ""wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.""",Tammy Baldwin,half-true
16278,"""We've got the highest corporate tax rate in the world.""",Joseph Kyrillos,mostly-true
16279,The state government workforce grew when Tim Kaine was governor.,George Allen,barely-true
16280,"""Independent voters have a ten-point margin in favor of Mitt Romney right now.""",Bob McDonnell,mostly-true
16281,"""In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.""",Mitt Romney,true
16282,"Says U.S. Senate rival Tammy Baldwin wants a ""completely government-controlled"" health care system that goes ""far beyond 'Obamacare'"" and is ""a Medicare system for all.""",Tommy Thompson,mostly-true
16283,"""We have only one person on the (TVA) board, to my knowledge, who even has any corporate board experience.""",Bob Corker,mostly-true
16284,"""For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.""",Sheldon Whitehouse,mostly-true
16285,"""His new running mate, Congressman Ryan, put forward a plan that would let Governor Romney pay less than 1 percent in taxes each year.""",Barack Obama,mostly-true
16286,"The Romney-Ryan plan for Medicare ""does not affect"" benefits for anyone 55 or older.",Paul Ryan,half-true
16287,"The Obama administration ""willfully leaked the existence of STUXNET (a computer worm used against Iran), allowing our enemies to learn more of our secrets and of our operations.""",Special Operations OPSEC Education Fund,half-true
16288,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies,Billboard,barely-true
16289,"Initial efforts to strip airport contractors of their special diversity status ""has no effect"" on the contracts or the city’s diversity goals.",Sonji Jacobs,true
16290,"Says Betty Sutton and House Democrats ""gutted"" Medicare by $741 billion to pay for Obamacare.",Jim Renacci,barely-true
16291,"Paul Ryan’s Medicare plan ""could raise future retirees’ costs more than $6,000.""",Barack Obama,half-true
16292,"Says ""cities save an estimated $38 in dental costs for every $1 invested in fluoridation.""",Nick Fish,mostly-true
16293,"""Your Congressman, Charlie Bass, took over $166,000 from Big Oil.""",Friends of Democracy,barely-true
16294,"Says Obama puts ""15 unelected, unaccountable bureaucrats in charge of Medicare, who are required to cut Medicare ... that will lead to denied care for current seniors.""",Paul Ryan,barely-true
16295,"""Mitt Romney says class sizes don’t matter.""",Barack Obama,true
16296,Says 88 Texas constables have died in the line of duty.,Bruce Elfant,true
16297,"Says U.S. Senate hopeful Tammy Baldwin voted for a $1 trillion stimulus bill that included a wasteful ""$800,000 to replace light bulbs.""",Crossroads GPS,barely-true
16298,"""I haven't raised taxes in the time I've been the governor of New Jersey.""",Chris Christie,half-true
16299,"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people.""",Barack Obama,mostly-true
16300,"""In Florida, they're already talking about how the Ryan-Romney plan will end Medicare and replace it with a voucher.""",Barack Obama,barely-true
16301,"The Obama administration ""leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.""",Special Operations OPSEC Education Fund,false
16302,"Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation ""to limit federal funding for abortion to victims of ‘forcible rape.’""",John Wisniewski,true
16303,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",Tammy Baldwin,barely-true
16304,"""Clayton County Public Schools recently achieved a milestone that has eluded other
metropolitan districts across the state"" by meeting federal guidelines for having a highly qualified staff.",Clayton County Schools,true
16305,"""A small business in my district"" needed ""31 different permits and fees just to be able to expand.""",Connie Mack,mostly-true
16306,"Tim Kaine supported ""higher energy costs for families.""",U.S. Chamber of Commerce,barely-true
16307,"Rep. Peter Petrarca ""voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.""",Gregory J. Costantino,mostly-true
16308,"Says an appointed board created under Obamacare ""will have the ability to come between you and your doctor in determining the best treatment options for you!""",John Carter,false
16309,Says House Republicans spent $50 million on 33 votes to repeal Obamacare.,Betty Sutton,false
16310,On supporting the charter school amendment.,John Barge,half-flip
16311,"""Under the president's plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare.""",Mitt Romney,half-true
16312,"""Days after the (Osama bin Laden) raid, Hollywood was invited into the White House so that they could receive a briefing"" that revealed intelligence sources and methods.",Special Operations OPSEC Education Fund,barely-true
16313,"Says Bill Nelson ""voted to raise our taxes 150 times.""",Connie Mack,false
16314,"Says under Wisconsin law, he cannot remove his name from the ballot for re-election to Congress.",Paul Ryan,true
16315,"Says Jon Corzine ""gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, 'I will fight to get you a great contract.’""",Chris Christie,mostly-true
16316,"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""",Martavius Jones,true
16317,"Ted Cruz is ""unknown to the vast majority of Texans.""",Paul Sadler,barely-true
16318,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",Marty Beil,barely-true
16319,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are ""willing to jeopardize seniors’ access to coverage by gutting $741 billion from Medicare"" to pay for a ""big-government healthcare takeover.""",National Republican Congressional Committee,pants-fire
16320,"""Thirty percent of [Sheldon Whitehouse' campaign] money is coming from special interests.""",Barry Hinckley,mostly-true
16321,"""Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasich’s Budget Committee.""",Chris Redfern,half-true
16322,"Paul Ryan would ""outlaw in vitro fertilization.""",Ultraviolet,half-true
16323,"""While (Barack) Obama preaches ‘we are our brother’s keeper,’ his brother and aunt live in real poverty in Kenya.""",Bill Zedler,mostly-true
16324,"Says she does the jobs of state auditor, secretary of state and lieutenant governor ""for less than the price of one of them"" in Washington state.",Kate Brown,barely-true
16325,"Says Texas is 1st in business climate, 49th in education.",Kinky Friedman,half-true
16326,"""Austin is the largest city in the U.S. or Texas with no geographic representation"" on its city council.",Austinites for Geographic Representation,true
16327,"""13,000 Floridians are able to vote -- but their governor won't tell them.""",American Civil Liberties Union of Florida,false
16328,"Says ""Paul Ryan supports banning all abortions, even in cases of rape or incest.""",Barack Obama,half-true
16329,"Claims Joe Biden said ""coal is more dangerous than terrorists.""",Mitt Romney,barely-true
16330,"""NASCAR fans are twice as likely as non fans to serve in the military and 37 percent of active servicemembers and veterans are NASCAR fans.""",Steve Phelps,mostly-true
16331,"""After one year, Tennessee’s students made their biggest single-year jump in achievement ever recorded in the state.""",Arne Duncan,mostly-true
16332,"Says Mitt Romney and Paul Ryan ""want to turn Medicare into a voucher system.""",Barack Obama,mostly-true
16333,"Says Paul Ryan ""wants to cut Pell Grant scholarships for nearly 10 million students.""",Eva Longoria Baston,half-true
16334,"Says ""about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.""",Lou Greenwald,half-true
16335,"Says President Obama said of the national debt, ""If I don't have this done in three years, then there's going to be a one-term proposition.""",Americans for Prosperity,false
16336,"Says Barack Obama ""robbed Medicare (of) $716 billion to pay for ... Obamacare.""",Mitt Romney,barely-true
16337,Says Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,Stephanie Cutter,true
16338,"Says ""a Republican hasn't won [an election] for a presidency in New Jersey since 1988.""",Chris Christie,true
16339,"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.""",David Cicilline,false
16340,"Florida has ""more concealed weapons permits than any other state.""",Rick Scott,true
16341,"Says Mitt Romney ""wants to end tax credits for wind producers.""",Barack Obama,true
16342,"Says U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.""",American Future Fund,false
16343,"""Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.""",Debbie Wasserman Schultz,false
16344,"Voter turnout for some groups in the 2008 presidential general election in Georgia ""was far greater than it should have been demographically.""",Warren Kampf,mostly-true
16345,Says Josh Mandel bet against Ohio families,Workers' Voice,pants-fire
16346,Says Ronda Storms voted to fund the 'Taj Mahal' courthouse.,Rob Turner,mostly-true
16347,"Says Joe Garcia ""voted to raise our utility rates.""",Gloria Romero Roses,half-true
16348,"Says Mitt Romney said at a January 2012 debate that under Paul Ryan’s tax plan, ""I’d have paid no taxes in the last two years.""",Paul Begala,barely-true
16349,"""We do know that Romney personally approved over $70 million in fictional losses to the IRS as part of the notorious 'Son of Boss' tax scandal, one of the largest tax avoidance schemes in history.""",Barack Obama,half-true
16350,Says state Senate candidate Aaron Bean voted to give health care subsidies to illegal immigrants.,Floridians for Ethics and Truth in Politics,false
16351,"""We actually made history in 2010. We came the closest in 24 years to defeating Frank Pallone.""",Anna Little,false
16352,"The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""",Bob McDonnell,false
16353,Georgia spends fewer tourism advertising dollars than any other state in the South.,Ron Stephens,true
16354,"Sherrod Brown ""sent billions of our tax dollars to foreign countries.""",Josh Mandel,pants-fire
16355,"Says the federal government ""mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.""",Mark Clayton,pants-fire
16356,"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",New Jersey Democratic State Committee,half-true
16357,"""I didn’t try to push"" a bill to reduce lottery scholarship proceeds for students.",Dolores Gresham,false
16358,"Rhode Island has ""the most burdensome level of health-insurance mandates in the nation.""",Mike Stenhouse,half-true
16359,"Says Texas GOP platform calls for end to teaching ""critical thinking"" in public schools.",Gail Collins,half-true
16360,"Says library district would come ""at no direct cost to the city budget.""",Multnomah County Library Foundation,false
16361,"Says Ron Saunders ""made the choice to stand with Rick Scott"" on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.",Tomorrow's Vision of Florida,false
16362,"Says Tommy Thompson favors Obama's health care mandate, was publicly thanked by Obama for health reform support and that Thompson ""says we can't repeal 'Obamacare.'""",Eric Hovde,false
16363,"""I have voted every year in Wisconsin.""",Tommy Thompson,false
16364,"Says Barack Obama ""has deported more people than any other president in this country's history.""",American Principles in Action,half-true
16365,"Says U.S. Senate rival Tommy Thompson is ""a big corporate lobbyist"" and has been ""lobbying during the middle of the campaign.""",Eric Hovde,half-true
16366,"Says U.S. Senate rival Eric Hovde ""refused to pay his property taxes until he was taken to court.""",Tommy Thompson,mostly-true
16367,"Art Robinson says ""Social Security should be ended through attrition.""",Peter DeFazio,mostly-true
16368,"The property appraiser's budget ""is $1 million less today than when I took office 16 years ago.""",Rob Turner,true
16369,"Says the Central Ohio Human Trafficking Task Force ""is the first task force of its kind in Central Ohio""",Mike DeWine,mostly-true
16370,"A United Nations arms treaty would ""almost certainly force"" the U.S. to ""create an international gun registry, setting the stage for full-scale gun confiscation.""",Paul Broun,false
16371,"Says Mitt Romney ""paid only 14 percent in taxes — probably less than you.""",Barack Obama,half-true
16372,Aaron Bean voted to give illegal immigrants in-state tuition.,Floridians for Ethics and Truth in Politics,mostly-true
16373,"""Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.""",Jay Carney,false
16374,Says Mitt Romney and Bain Capital are to blame in a woman’s premature death when they closed the plant where her husband worked.,Priorities USA Action,false
16375,"Bill Nelson’s vote for the Affordable Care Act ""cuts $500 billion from Medicare to pay for new government programs.""",American Commitment,barely-true
16376,"""This ban will only apply to Oregon commercial fishermen. Washington commercial fishermen would still be allowed to use gillnets on the Columbia River.""",Salmon for All,half-true
16377,"As Florida secretary of state, Kurt Browning ""allowed 1,800 illegal voters to register in Florida.""",Heather Fiorentino,pants-fire
16378,"""One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks.""",Upendra Chivukula,barely-true
16379,"""Thousands of politicians from across Ohio – along with their relatives, employees and friends – are still eligible to serve"" on the proposed redistricting commission.",Protect Your Vote Ohio,mostly-true
16380,"In June 2012 ""we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.""",Allen West,true
16381,"President Obama and Nancy Pelosi said ""Obamacare"" would save money because ""they factored in 10 years worth of tax revenue and only six and half years worth of expenses.""",Eric Hovde,half-true
16382,"""In June, jobless ranks were higher in nearly 90 percent of U.S. cities.""",Mitt Romney,barely-true
16383,Says Mitt Romney opposes requiring employers to cover contraception and would eliminate funding for Planned Parenthood.,Barack Obama,true
16384,"Says he never voted for a ""tax increase.""",Mark Neumann,false
16385,"""Ninety percent of the topsoil has inadequate moisture to grow crops.""",John Kasich,true
16386,"""We have reduced funding for education the least. They've suffered the least cuts.""",Fran Millar,half-true
16387,"""Under Obama’s plan (for welfare), you wouldn’t have to work and wouldn’t have to train for a job. They just send you your welfare check.""",Mitt Romney,pants-fire
16388,"Says Obama ""refuses to recognize Jerusalem"" as the capital of Israel.",Mitt Romney,half-true
16389,"""As president, Barack Obama has never visited Israel.""",Mitt Romney,true
16390,"Says Connie Mack IV has been ""a promoter for Hooters with a history of bar room brawling, altercations and road rage.""",Bill Nelson,mostly-true
16391,"Says Romney would add ""trillions"" to the deficit while Obama would ""cut the deficit by $4 trillion.""",Barack Obama,half-true
16392,"""When I left the Senate, we were on a trajectory towards a balanced budget.""",George Allen,half-true
16393,"Says Georgia ranks ""near the bottom in per capita transportation spending.""",Stacey Abrams,true
16394,"Medicare insurance premiums will be rising to ""$120.20 per month in 2013 and $247.00 per month in 2014.""",Chain email,pants-fire
16395,President Obama’s lawsuit claims it is unconstitutional for Ohio to allow servicemen and women extended early voting privileges during the state’s early voting period.,Mitt Romney,false
16396,"""Without Westside MAX, we’d need to add 2.9 lanes to the Sunset Highway.""",TriMet,barely-true
16397,"Says Gov. Jeb Bush vetoed the ""Quiñones Plan"" because it was ""taxation without representation on a large scale.""",Alan Grayson,half-true
16398,Says Mitt Romney did not pay taxes for 10 years.,Harry Reid,pants-fire
16399,"Says U.S. Rep. Connie Mack IV passed ""only one bill"" in seven years.",American Bridge 21st Century,mostly-true
16400,"Says that President Obama said that ""Small Businesses Succeed Because of Government.""",Chuck Fleischmann,false
16401,"""In her nearly decade and (a) half in Congress, Tammy Baldwin has sponsored 105 bills. Only three have been enacted into law.""",Jeff Fitzgerald,mostly-true
